## [iView]
## Converted from:	F:\results\gaze_xsit_01\021916_02-[042e1479-8faa-4140-846f-b6e48e30bca2]\021916_02-eye_data.idf
## Date:	19.02.2016 16:01:19
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4488                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	021916_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1098601775	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
1098611569	SMP	1	0.00	0.00	1478.36	800.49	0.00	0.00	0.00	10.94	10.94	2.75	0.00	0.00	0.00	0.00	1473.57	802.47	1478.40	802.43	0.00	0.00	213.04	835.91	0	0	1	1	-1	-1	0.00	0.00	0.00	-35.55	-11.53	846.27	0.00	0.00	0.00	-0.09	0.12	-0.99	0	 -1	
1098644481	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
1098677810	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
1098711094	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
1098744436	SMP	1	1693.84	808.39	1473.39	797.78	12.79	12.79	3.20	10.80	10.80	2.75	1692.40	810.95	1696.91	810.89	1471.50	801.89	1476.18	801.90	1080.53	464.43	1063.81	248.65	0	1	1	2	-1	-1	-94.81	-13.89	851.49	-35.11	-11.42	849.59	0.15	0.16	-0.98	0.06	0.24	-0.97	0	 -1	
1098777925	SMP	1	1694.16	808.78	1473.61	798.18	12.61	12.61	3.21	10.71	10.71	2.74	1692.66	811.04	1697.27	811.27	1471.58	802.34	1476.42	802.23	1081.09	502.67	1055.63	256.55	0	1	1	2	-1	-1	-94.80	-13.93	850.64	-34.97	-11.47	845.14	0.15	0.15	-0.98	0.06	0.24	-0.97	0	 -1	
1098811079	SMP	1	1694.42	809.13	1473.71	798.49	13.14	13.14	3.24	10.95	10.95	2.75	1692.96	811.18	1697.50	811.45	1471.66	802.36	1476.61	802.25	1082.80	566.49	1052.69	315.60	0	1	1	2	-1	-1	-95.11	-14.01	852.78	-34.81	-11.41	840.34	0.15	0.14	-0.98	0.06	0.22	-0.97	0	 -1	
1098844408	SMP	1	1694.60	808.66	1473.71	798.49	12.77	12.77	3.25	10.92	10.92	2.75	1693.07	811.08	1697.69	811.35	1471.88	802.32	1476.77	802.22	1080.20	476.36	1065.37	335.63	0	1	1	2	-1	-1	-95.09	-13.98	852.23	-34.82	-11.39	839.32	0.15	0.16	-0.98	0.07	0.22	-0.97	0	 -1	
1098877738	SMP	1	1694.68	808.95	1473.98	798.58	12.97	12.97	3.26	10.65	10.65	2.74	1693.27	811.22	1697.77	811.35	1471.89	802.36	1476.66	802.44	1083.52	508.82	1047.59	337.84	0	1	1	2	-1	-1	-95.41	-14.04	854.75	-34.88	-11.44	841.09	0.15	0.15	-0.98	0.06	0.22	-0.97	0	 -1	
